2026-06-25 12:18:55 +02:00: 🚀 Dialfire Sync Script Started
2026-06-25 12:18:55 +02:00:    Campaign: GENS85UE5SU4SSC7
2026-06-25 12:18:55 +02:00:    Webhook: http://localhost:3000/api/webhooks/dialfire-sync
2026-06-25 13:43:36 +02:00: [2026-06-25T11:43:36.096Z] Polling Dialfire...
2026-06-25 13:44:36 +02:00: [2026-06-25T11:44:36.097Z] Polling Dialfire...
2026-06-25 13:45:36 +02:00: [2026-06-25T11:45:36.099Z] Polling Dialfire...
2026-06-25 13:46:36 +02:00: [2026-06-25T11:46:36.101Z] Polling Dialfire...
2026-06-25 13:47:36 +02:00: [2026-06-25T11:47:36.102Z] Polling Dialfire...
2026-06-25 13:48:36 +02:00: [2026-06-25T11:48:36.104Z] Polling Dialfire...
2026-06-25 13:49:36 +02:00: [2026-06-25T11:49:36.105Z] Polling Dialfire...
2026-06-25 13:50:36 +02:00: [2026-06-25T11:50:36.106Z] Polling Dialfire...
2026-06-25 13:51:36 +02:00: [2026-06-25T11:51:36.108Z] Polling Dialfire...
2026-06-25 13:52:36 +02:00: [2026-06-25T11:52:36.109Z] Polling Dialfire...
2026-06-25 13:53:36 +02:00: [2026-06-25T11:53:36.110Z] Polling Dialfire...
2026-06-25 13:54:36 +02:00: [2026-06-25T11:54:36.112Z] Polling Dialfire...
2026-06-25 13:55:36 +02:00: [2026-06-25T11:55:36.112Z] Polling Dialfire...
2026-06-25 13:56:36 +02:00: [2026-06-25T11:56:36.114Z] Polling Dialfire...
2026-06-25 13:57:36 +02:00: [2026-06-25T11:57:36.115Z] Polling Dialfire...
2026-06-25 13:58:36 +02:00: [2026-06-25T11:58:36.117Z] Polling Dialfire...
2026-06-25 13:59:36 +02:00: [2026-06-25T11:59:36.118Z] Polling Dialfire...
2026-06-25 14:00:36 +02:00: [2026-06-25T12:00:36.119Z] Polling Dialfire...
2026-06-25 14:01:36 +02:00: [2026-06-25T12:01:36.121Z] Polling Dialfire...
2026-06-25 14:02:36 +02:00: [2026-06-25T12:02:36.122Z] Polling Dialfire...
2026-06-25 14:03:36 +02:00: [2026-06-25T12:03:36.125Z] Polling Dialfire...
2026-06-25 14:04:36 +02:00: [2026-06-25T12:04:36.124Z] Polling Dialfire...
2026-06-25 14:05:36 +02:00: [2026-06-25T12:05:36.127Z] Polling Dialfire...
2026-06-25 14:06:36 +02:00: [2026-06-25T12:06:36.128Z] Polling Dialfire...
2026-06-25 14:07:36 +02:00: [2026-06-25T12:07:36.132Z] Polling Dialfire...
2026-06-25 14:08:36 +02:00: [2026-06-25T12:08:36.133Z] Polling Dialfire...
2026-06-25 14:09:36 +02:00: [2026-06-25T12:09:36.134Z] Polling Dialfire...
2026-06-25 14:10:36 +02:00: [2026-06-25T12:10:36.136Z] Polling Dialfire...
2026-06-25 14:11:36 +02:00: [2026-06-25T12:11:36.137Z] Polling Dialfire...
2026-06-25 14:12:36 +02:00: [2026-06-25T12:12:36.139Z] Polling Dialfire...
2026-06-25 14:13:36 +02:00: [2026-06-25T12:13:36.141Z] Polling Dialfire...
2026-06-25 14:14:36 +02:00: [2026-06-25T12:14:36.142Z] Polling Dialfire...
2026-06-25 14:15:36 +02:00: [2026-06-25T12:15:36.144Z] Polling Dialfire...
2026-06-25 14:16:36 +02:00: [2026-06-25T12:16:36.145Z] Polling Dialfire...
2026-06-25 14:17:36 +02:00: [2026-06-25T12:17:36.147Z] Polling Dialfire...
2026-06-25 14:18:36 +02:00: [2026-06-25T12:18:36.149Z] Polling Dialfire...
2026-06-25 14:19:36 +02:00: [2026-06-25T12:19:36.149Z] Polling Dialfire...
2026-06-25 14:20:36 +02:00: [2026-06-25T12:20:36.151Z] Polling Dialfire...
2026-06-25 14:21:36 +02:00: [2026-06-25T12:21:36.153Z] Polling Dialfire...
2026-06-25 14:22:36 +02:00: [2026-06-25T12:22:36.153Z] Polling Dialfire...
2026-06-25 14:23:36 +02:00: [2026-06-25T12:23:36.154Z] Polling Dialfire...
2026-06-25 14:24:36 +02:00: [2026-06-25T12:24:36.156Z] Polling Dialfire...
2026-06-25 14:25:36 +02:00: [2026-06-25T12:25:36.157Z] Polling Dialfire...
2026-06-25 14:26:36 +02:00: [2026-06-25T12:26:36.159Z] Polling Dialfire...
2026-06-25 14:27:36 +02:00: [2026-06-25T12:27:36.160Z] Polling Dialfire...
2026-06-25 14:28:36 +02:00: [2026-06-25T12:28:36.161Z] Polling Dialfire...
2026-06-25 14:29:36 +02:00: [2026-06-25T12:29:36.164Z] Polling Dialfire...
2026-06-25 14:30:36 +02:00: [2026-06-25T12:30:36.165Z] Polling Dialfire...
2026-06-25 14:31:36 +02:00: [2026-06-25T12:31:36.167Z] Polling Dialfire...
2026-06-25 14:32:36 +02:00: [2026-06-25T12:32:36.169Z] Polling Dialfire...
2026-06-25 14:33:36 +02:00: [2026-06-25T12:33:36.169Z] Polling Dialfire...
2026-06-25 14:34:36 +02:00: [2026-06-25T12:34:36.170Z] Polling Dialfire...
2026-06-25 14:35:36 +02:00: [2026-06-25T12:35:36.172Z] Polling Dialfire...
2026-06-25 14:36:36 +02:00: [2026-06-25T12:36:36.173Z] Polling Dialfire...
2026-06-25 14:37:36 +02:00: [2026-06-25T12:37:36.173Z] Polling Dialfire...
2026-06-25 14:38:36 +02:00: [2026-06-25T12:38:36.173Z] Polling Dialfire...
2026-06-25 14:39:36 +02:00: [2026-06-25T12:39:36.174Z] Polling Dialfire...
2026-06-25 14:40:36 +02:00: [2026-06-25T12:40:36.176Z] Polling Dialfire...
2026-06-25 14:41:36 +02:00: [2026-06-25T12:41:36.177Z] Polling Dialfire...
2026-06-25 14:42:36 +02:00: [2026-06-25T12:42:36.178Z] Polling Dialfire...
2026-06-25 14:43:36 +02:00: [2026-06-25T12:43:36.178Z] Polling Dialfire...
2026-06-25 14:44:36 +02:00: [2026-06-25T12:44:36.180Z] Polling Dialfire...
2026-06-25 14:45:36 +02:00: [2026-06-25T12:45:36.181Z] Polling Dialfire...
2026-06-25 14:46:36 +02:00: [2026-06-25T12:46:36.183Z] Polling Dialfire...
2026-06-25 14:47:36 +02:00: [2026-06-25T12:47:36.184Z] Polling Dialfire...
2026-06-25 14:48:36 +02:00: [2026-06-25T12:48:36.186Z] Polling Dialfire...
2026-06-25 14:49:36 +02:00: [2026-06-25T12:49:36.186Z] Polling Dialfire...
2026-06-25 14:50:36 +02:00: [2026-06-25T12:50:36.188Z] Polling Dialfire...
2026-06-25 14:51:36 +02:00: [2026-06-25T12:51:36.189Z] Polling Dialfire...
